title,company,url
"AI 대화 분석 및 작성 (태국어) / 전공무관, 국적무관",㈜다이얼로그디자인에이전시,https://www.jobkorea.co.kr/Recruit/GI_Read/48430567?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=59&sc=630
"AI 대화 분석 및 작성 (베트남어) / 전공무관, 국적무관",㈜다이얼로그디자인에이전시,https://www.jobkorea.co.kr/Recruit/GI_Read/48430520?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=60&sc=630
(병역특례) 증권 AI Agent 엔지니어,㈜씽크풀,https://www.jobkorea.co.kr/Recruit/GI_Read/48419334?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=61&sc=630
AI 대화 경험 디자이너 (한국어-US영어 Bilingual) / 유사 경력 종사자,㈜다이얼로그디자인에이전시,https://www.jobkorea.co.kr/Recruit/GI_Read/48407315?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=62&sc=630
DevSecOps AI 개발자 모집,㈜에이디알에프코리아,https://www.jobkorea.co.kr/Recruit/GI_Read/48464300?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=63&sc=630
[IT기업] LLM 엔지니어,㈜인포유앤컴퍼니,https://www.jobkorea.co.kr/Recruit/GI_Read/48375086?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=64&sc=630
AE팀 Account Executive,팔레트㈜,https://www.jobkorea.co.kr/Recruit/GI_Read/48517677?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=65&sc=630
"(주)영유진 - 사무, 기획/지원 (경력무관)",㈜영유진,https://www.jobkorea.co.kr/Recruit/GI_Read/48491076?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=66&sc=630
AI 서비스 기획 채용,다큐브㈜,https://www.jobkorea.co.kr/Recruit/GI_Read/48330133?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=67&sc=630
GIS 데이터 라벨러 채용,코드비전㈜,https://www.jobkorea.co.kr/Recruit/GI_Read/48519047?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=68&sc=630
