,채용제목,회사,근무지,경력,학력,고용형태,상세url,상세게시글id,주요업무,자격요건,우대사항,채용절차,복지 및 혜택,급여,스킬,업종
325,"[SPC삼립] 부문별 경력직 모집(해외사업, IT전략, SCM, 생산관리, 외주관리)","SPC삼립
SPC그룹",경기 과천시 과천대로2길 54,인재,대졸이상,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/48411688?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=303&sc=630,48411688,,,,,,회사 내규에 따름,,가정용 비전기식 조리 및 난방 기구 제조업
326,GA 본사 AI전략팀 경력직 채용,인카금융서비스㈜,서울 강남구 테헤란로 142  아크플레이스,경력무관,학력무관,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/48342075?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=317&sc=630,48342075,,,,,,회사 내규에 따름 (면접 후 결정),,모바일·APP
327,NCP B2B 상품 기획 (경력),"네이버클라우드㈜
네이버그룹",경기 과천시 과천대로2길 54,인재,대졸이상,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/48411805?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=314&sc=630,48411805,,,,,,회사 내규에 따름,,가정용 비전기식 조리 및 난방 기구 제조업
329,SW/FW/AI 포지션 경력 인재 상시 영입 - SDK/API 구축,에스케이인텔릭스㈜,서울 강남구 선릉로 514  성원타워 10층,신입·경력,학력무관,,https://www.jobkorea.co.kr/Recruit/GI_Read/48389911?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=315&sc=630,48389911,,,기본우대 유관업무 경력자(3년),,"연금·보험 국민연금 , 고용보험, 산재보험, 건강보험, 퇴직연금, 상해보험 휴무·휴가·행사 주5일제, 연차제도, 경조휴가, 반차제도, 포상휴가, 출산휴가, 육아휴직, 남성출산휴가, 보건휴가, 창립일 휴무, 노동절 휴무, 창립일 행사 편의·여가·건강 사내 동호회, 건강검진, 저녁 식사 지원 복리후생 더보기 이",회사 내규에 따름 (면접 후 결정),,컴퓨터시스템 통합 자문 및 구축 서비스업
330,"[서울] AI 개발 담당자(신입,경력)",에스넷시스템㈜,서울 강남구 선릉로 433  신관 17층,:,:,정규직(수습 3개월),https://www.jobkorea.co.kr/Recruit/GI_Read/48434417?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=302&sc=630,48434417,ㆍ솔루션 설치 및 기술지원 ㆍWEB 커스터마이징,"솔루션 기술지원 엔지니어 ( 1명 ) 담당업무 ㆍ솔루션 설치 및 기술지원 ㆍWEB 커스터마이징 자격요건 ㆍ학력 : 초대졸이상 ㆍ경력 : 경력3년↑ ㆍ서버운영 경험 ㆍJSP, Servlet, HTML5, DBMS 사용 가능자",ㆍUnix/Linux 유경험,"ㆍ서류전형 > 1차면접 > 2차면접 > 최종합격 (※서류합격자에 한하여 간단한 전화인터뷰 진행 예정) ㆍ면접일정은 추후 통보됩니다. 제출서류 ㆍ이력서 및 자기소개서 (사진, 연락처, 희망연봉 반드시 기재요망) ㆍ경력기술서 (프로젝트별 Skill inventory포함 우대)",,회사 내규에 따름 (면접 후 결정),,솔루션·SI·CRM·ERP
331,상시 인재 채용 (인재 Pool) - IT인프라/클라우드 운영,㈜비즈테크아이,경기도 성남시 분당구 불정로 6,3년,,정규직(협의),https://www.jobkorea.co.kr/Recruit/GI_Read/48451370?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=312&sc=630,48451370,ㆍMulti AI model API Hub 플랫폼 - 대외·대내 언어모델 등 다양한 AI 서비스를 통합 관리하는 플랫폼 구축 - 외부 상용 AI 서비스와 내부 또는 오픈소스 기간의 AI 서비스에 대한 거버넌스 및 서빙 수행하는 사내향 플랫폼 - 해당 서비스에 대한 대외 상품화 검토 ㆍ 네이버 서비스의 B2B 상품화 - 네이버 내부에서 개발된 서비스와 기술을 대외 B2B 사업으로 확장 - 네이버에서 B2C로 서비스 중인 서비스에 대한 B2B 사업화 아이템 발굴 및 이에 대한 상품화 기획 예시) 네이버 PRISM Live Studio → 네이버 클라우드 B2B PRISM Live Studio ㆍ 빅데이터 및 데이터 분석 플랫폼 - 데이터 수집/색인/분석을 지원하는 PaaS 플랫폼 (참고 링크) - 기존 데이터 분석 상품군에 대한 스핀오프 계획 중으로 AI Agent 기반의 데이터 분석 자동화 솔루션 기획 - 팀 네이버 내부 사내향 DOGFooding 수행 ㆍ 미디어&엔터테인먼트 플랫폼 상품화 - 멀티미디어 서비스를 위한 기반 기술의 B2B 상품화 (참고 링크) - 멀티미디어 서비스를 위한 Full Stack 서비스 구축 - 멀티미디어 분석 AI 서비스(Media Intelligence)와 결합한 미디어 플랫폼의 AX 솔루션 구축,NCP B2B 상품 기획 담당업무 ㆍMulti AI model API Hub 플랫폼 - 대외·대내 언어모델 등 다양한 AI 서비스를 통합 관리하는 플랫폼 구축 - 외부 상용 AI 서비스와 내부 또는 오픈소스 기간의 AI 서비스에 대한 거버넌스 및 서빙 수행하는 사내향 플랫폼 - 해당 서비스에 대한 대외 상품화 검토 ㆍ 네이버 서비스의 B2B 상품화 - 네이버 내부에서 개발된 서비스와 기술을 대외 B2B 사업으로 확장 - 네이버에서 B2C로 서비스 중인 서비스에 대한 B2B 사업화 아이템 발굴 및 이에 대한 상품화 기획 예시) 네이버 PRISM Live Studio → 네이버 클라우드 B2B PRISM Live Studio ㆍ 빅데이터 및 데이터 분석 플랫폼 - 데이터 수집/색인/분석을 지원하는 PaaS 플랫폼 (참고 링크) - 기존 데이터 분석 상품군에 대한 스핀오프 계획 중으로 AI Agent 기반의 데이터 분석 자동화 솔루션 기획 - 팀 네이버 내부 사내향 DOGFooding 수행 ㆍ 미디어&엔터테인먼트 플랫폼 상품화 - 멀티미디어 서비스를 위한 기반 기술의 B2B 상품화 (참고 링크) - 멀티미디어 서비스를 위한 Full Stack 서비스 구축 - 멀티미디어 분석 AI 서비스(Media Intelligence)와 결합한 미디어 플랫폼의 AX 솔루션 구축 자격요건 ㆍ 상품 기획/개발 경력 3년 이상이거나 이에 준하는 경험을 보유하신 분 ㆍ 클라우드 최신 기술 및 국내외 클라우드 시장 트렌드에 대한 높은 이해도를 보유하신 분 ㆍ 이해관계자와 업무 조율을 위한 뛰어난 커뮤니케이션 역량을 보유하신 분,ㆍ 상품 및 솔루션 기획에 대한 전체 라이프사이클을 경험해 보신 분 ㆍ AI 및 AI Agent에 대한 이해도가 높으신 분 ㆍ 확장형 통합 API 플랫폼(앱스토어 등)에 대한 운영 및 기획 경험을 보유하신 분 ㆍ 다양한 개발/운영/기획으로 쌓인 경험을 바탕으로 신규 상품을 만들어보고 싶으신 분 기타사항 ㆍ,,,회사 내규에 따름,,포털 및 기타 인터넷 정보매개 서비스업
332,ML Engineer (Commerce 검색),㈜비바리퍼블리카,경기 성남시 분당구 산운로208번길 25  그리드위즈 그린동,채용,대졸이상,정규직(수습 3개월),https://www.jobkorea.co.kr/Recruit/GI_Read/48494454?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=307&sc=630,48494454,ㆍ발전량/수요예측 모델 개발 및 운영 ㆍ시장정산 /입찰최적화 알고리즘 개발 ㆍ데이터 품질관리 및 KPI 설계,"데이터 엔지니어 ( ○명 ) 담당업무 ㆍ발전량/수요예측 모델 개발 및 운영 ㆍ시장정산 /입찰최적화 알고리즘 개발 ㆍ데이터 품질관리 및 KPI 설계 자격요건 ㆍ데이터분석/AI/ML 경험자 ㆍPython, SQL기반 데이터 처리 경험자 ㆍ시계열/예측모델(LSTM,XGBoost 등) 활용 경험자",ㆍ전력시장/에너지 분야 경험자 ㆍ국내 및 국제 관련 자격증 보유자,ㆍ서류전형 > 1차면접 > 2차면접 > 최종합격 ㆍ면접일정은 추후 통보됩니다.,"연금·보험 국민연금 , 고용보험, 산재보험, 건강보험, 퇴직연금 휴무·휴가·행사 주5일제, 연차제도, 경조휴가, 반차제도, 출산휴가, 육아휴직, 남성출산휴가, 창립일 휴무, 노동절 휴무, 워크샵/MT 편의·여가·건강 사내 동호회, 건강검진, 점심 식사 지원, 저녁 식사 지원 복리후생 더보기 관련 태그 IT 개발자 전문 채용관 DBA 모델링 데이터마이닝 데이터관리 데이터엔지니어 데이터사이언티스트 데이터분석 데이터시각화 본 채용정보는 잡코리아의 동의없이 무단전재,재배포,재가공할수 없으며,구직활동 이외의 용도로 사용할 수 없습니다. 불법/허위/과장/오류 신고 스마트픽 AD 이직하기 딱! 이 회사 어때요? ㈜아이비전로봇 AI Vision용 합성 데이터 생성 파이프라인을 함께 만들어갈 분을 찾습니다 대졸↑ 경력무관 정규직 경기 > 성남시 분당구 ~02/22(일) 즉시 지원 로그인하고 비슷한 조건의 AI추천공고를 확인해 보세요! ㈜다우기술 다우키움그룹 계열사 데이터베이스 엔지니어 합격축하금 100만원 초대졸↑ 경력5년↑ 서울 > 마포구 DBA ~02.01 (일) 즉시 지원 ㈜다우기술 다우키움그룹 계열사 인터넷서비스 DBA 합격축하금 100만원 초대졸↑ 경력10년↑ 경기 > 성남시 수정구 DBA ~02.01 (일) 즉시 지원 ㈜오픈베이스 2026년 상반기 오픈베이스 신입/경력 공개채용 초대졸↑ 신입·경력 서울 > 서초구 백엔드개발자,시스템엔지니어,네트워크엔지니어 외 4건 ~02.08 (일) 즉시 지원 공간제작소㈜ [공간제작소] [정규직] 2026년 각 부문별 채용 (경기화성시) 학력무관 신입·경력 경기 > 군포시, 수원시",회사 내규에 따름 (면접 후 결정),,
333,응용 모션 개발자,두산로보틱스㈜,경기 성남시 수정구 금토로80번길 27,중,,정규직(협의),https://www.jobkorea.co.kr/Recruit/GI_Read/48323883?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=319&sc=630,48323883,"ㆍTOPST 제품 기반 Making 과정 개발 ㆍ Single Board Computer SDK 개발 ㆍ Yocto/Linux, Arduino, FreeRTOS, ZephyrOS 기반 환경 개발 ㆍ NPU 기반 Model Running 및 기반 툴 개발 지원 ㆍ Single Board Computer Peripheral Driver(BSP) 개발 ㆍ Open-Source Community 기획/활동 지원 ㆍ Open-Source SW 개발 및 Contribution","SW Engineer 담당업무 ㆍTOPST 제품 기반 Making 과정 개발 ㆍ Single Board Computer SDK 개발 ㆍ Yocto/Linux, Arduino, FreeRTOS, ZephyrOS 기반 환경 개발 ㆍ NPU 기반 Model Running 및 기반 툴 개발 지원 ㆍ Single Board Computer Peripheral Driver(BSP) 개발 ㆍ Open-Source Community 기획/활동 지원 ㆍ Open-Source SW 개발 및 Contribution 자격요건 ㆍ취미나 업무로 Making 관련 데모 개발 경험자 (이력서에 관련 포트폴리오 설명 추가 필) ㆍ 경력 중 Embedded 개발 분야 경력 8년 이상 보유 (경력 설명에 개발한 제품, 개발 분야 상세 설명 필요) ㆍ C/C++, Rust, Python, JS/TS 등의 언어를 사용하는 개발 경력자 ㆍ Jira/Git 기반 프로세스 경험자 ㆍ 프로젝트 계획, 실행, 이슈 관리/해결/실패 경험자 ㆍ 개발 관련 동료들과 소통에 문제 없는 자","ㆍ본인이 만든 DIY Making 제품으로 전시회나 소개 발표 등의 경험 보유자 ㆍ Embedded(차량, Settop/TV, SBC 등) 개발 전체 프로세스를 경험하고 제품 출시 전체 Cycle 경험자 ㆍ 위 전체 Cycle 중 HW 양산 관련 문제 해결/실패 경험자 ㆍ Linux, Yocto, Android, FreeRTOS, ZephyrOS, Yolo v5 이상 등 환경에서 개발 경험자 ㆍ Nvidia Jetson, Google Coral, Hailo, Rockchip 등 NPU 기반 개발 경험자 ㆍ SW, SDK를 위한 기술 문서 작성 및 배포/관리 경험자 ㆍ Open-Source Community 참여/Support 경험자 또는 해외 Community 발표 경험자 ㆍ Single Board Computer를 이용한 개인/제품 프로젝트 진행 경험자 ㆍ Single Board Computer 제품 및 트렌드에 대한 이해와 관심이 많고 관련 프로젝트 경험자 ㆍ 최신 AI 기술 및 트렌드에 대한 이해와 관심이 많고 관련 프로젝트 경험자 기타사항 ㆍ",,,회사 내규에 따름,,전자집적회로 제조업
334,[판교 사옥] TOPST SW Engineer,(주)텔레칩스,,보유하신,,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/48494913?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=320&sc=630,48494913,ㆍ해외 임의/특약 재보험 프라이싱 모델 개발 및 요율 산출체계 고도화 ㆍ글로벌 재보험 경험통계 데이터베이스 구축 및 관리 ㆍ선진 계리모델 벤치마킹을 통한 내부 요율 검증 로직 최적화 지원,글로벌 일반보험 계리 수행업무 ㆍ해외 임의/특약 재보험 프라이싱 모델 개발 및 요율 산출체계 고도화 ㆍ글로벌 재보험 경험통계 데이터베이스 구축 및 관리 ㆍ선진 계리모델 벤치마킹을 통한 내부 요율 검증 로직 최적화 지원자격 ㆍ4년 이상 유관경력 보유하신 분,"ㆍ보험계리사 등 관련 자격 보유하신 분 ㆍ상급 영어 회화 능력 보유하신 분 ㆍ상품개발, 재보험, 해외수재 관련 업무 경험 보유하신 분",,,회사 내규에 따름,,손해 보험업
336,[전액국비] 취업연계 첨단기술 교육생 모집(반도체/AI/응용SW/로봇/스마트제조/IoT),대한상공회의소,경기 과천시 과천대로2길 54,인재,대졸이상,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/48411792?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=339&sc=630,48411792,ㆍ IoT 표준 규격 및 오픈 소스 활용한 스마트홈 통합 제어 설계/개발 ㆍ 근거리 무선통신 프로토콜 기반 디바이스 개발 ㆍ 클라우드 IoT 플랫폼 연동 Device 개발 ㆍ 온프레미스 IoT 플랫폼 운영 체계 설계 ㆍ 통신 프로토콜(보안) 설계/개발 ㆍ OTA Embedded FW 설계/개발 지원,IoT 및 Connectivity SW 개발자 담당업무 ㆍ IoT 표준 규격 및 오픈 소스 활용한 스마트홈 통합 제어 설계/개발 ㆍ 근거리 무선통신 프로토콜 기반 디바이스 개발 ㆍ 클라우드 IoT 플랫폼 연동 Device 개발 ㆍ 온프레미스 IoT 플랫폼 운영 체계 설계 ㆍ 통신 프로토콜(보안) 설계/개발 ㆍ OTA Embedded FW 설계/개발 지원자격 ㆍ학사 학위 이상/경력 4년 이상 ㆍ필수경험 - IoT 표준 규격 기반 제품 개발 경력 - IoT 플랫폼 연동 개발 경력 - 근거리 무선통신 프로토콜 개발 경력,ㆍ우대전공 : 전자공학/통신공학/컴퓨터공학 관련 전공 기타사항 ㆍ,,,회사 내규에 따름,,가정용 비전기식 조리 및 난방 기구 제조업
337,AI 기획 및 개발자 모집,㈜띵스파이어,경기 용인시 기흥구 이현로30번길 107 녹십자) 목암빌딩,경력,대졸이상,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/48438356?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=323&sc=630,48438356,,,,,"연금·보험 각종 연금 제도 휴무·휴가·행사 반차제도, 창립일 휴무, 가족 돌봄 정책, 다양한 휴가제도, 사내 이벤트, 자유로운 휴가문화 편의·여가·건강 출퇴근 셔틀버스, 휴양시설 복리후생 더보기 이",회사 내규에 따름 (면접 후 결정),,지주회사
338,SW/FW/AI 포지션 경력 인재 상시 영입 - Embedded 안드로이드 Framework ASOP 개발,에스케이인텔릭스㈜,경기 성남시 분당구 판교로255번길 20,:,:,정규직(협의),https://www.jobkorea.co.kr/Recruit/GI_Read/48420594?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=335&sc=630,48420594,ㆍ로봇 상체(팔/몸통) 구동 메커니즘 설계 - 다자유도 시스템(로봇 및 관절 구조) 설계 - 경량화 및 강성 최적설계 - Static / Dynamic 구조 해석 - 강성/진동/내구 해석 및 설계 개선 ㆍ통합 메커니즘 설계 경험 - 상체-하체(AMR 베이스) 모듈형 결합 구조 설계 - 통합 인터페이스 정의 및 확장성 고려 설계 ㆍ시제품 제작 및 조립성/정비성 고려 설계 지원,"상체 매커니즘 설계 담당업무 ㆍ로봇 상체(팔/몸통) 구동 메커니즘 설계 - 다자유도 시스템(로봇 및 관절 구조) 설계 - 경량화 및 강성 최적설계 - Static / Dynamic 구조 해석 - 강성/진동/내구 해석 및 설계 개선 ㆍ통합 메커니즘 설계 경험 - 상체-하체(AMR 베이스) 모듈형 결합 구조 설계 - 통합 인터페이스 정의 및 확장성 고려 설계 ㆍ시제품 제작 및 조립성/정비성 고려 설계 지원자격 ㆍ학력 : 석사 이상 ㆍ경력 : 5년 이상 ㆍ필수기술 - 다자유도 시스템 구조 설계/제작/Test 경험 - FEA 기반 Static / Dynamic 구조 설계 및 해석 경험 - 로봇 기구학 및 동역학 기술에 대한 지식 - 휴머노이드 및 제어/센서 이해 - CAD : SolidWorks, Pro-E 등","ㆍ휴머노이드, 다관절 로봇(산업용/협동 로봇), AMR/AMMR 설계 경험 ㆍ다자유도 시스템(다관절 로봇 등) 설계 또는 양산 경험 ㆍ구동기-감속기-엔코더 통합 설계 경험 ㆍ경량화(Topology Optimization) 경험 ㆍ시제품 → 양산 전환 경험",,,회사 내규에 따름,,솔루션·SI·CRM·ERP
339,[GC녹십자홀딩스] LLM 엔지니어 (LLMOps),녹십자홀딩스,,보유하신,,정규직,https://www.jobkorea.co.kr/Recruit/GI_Read/48495031?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=336&sc=630,48495031,ㆍ국내외 금융시장 및 채권시장 분석 ㆍ국내 및 해외채권 운용전략 수립 및 운용업무 수행 ㆍ국내 및 해외채권 위탁운용사 선정 및 관리 ㆍ채권형 신규상품 발굴 및 투자 검토 지원,채권 운용 수행업무 ㆍ국내외 금융시장 및 채권시장 분석 ㆍ국내 및 해외채권 운용전략 수립 및 운용업무 수행 ㆍ국내 및 해외채권 위탁운용사 선정 및 관리 ㆍ채권형 신규상품 발굴 및 투자 검토 지원자격 ㆍ4년 이상 유관경력 보유하신 분,"ㆍ경영학, 경제학 등 유관전공 석사 이상 학위 보유하신 분 ㆍCPA, CFA 등 관련 자격 보유하신 분 ㆍ상급 영어 회화 능력 보유하신 분",,,회사 내규에 따름,,손해 보험업
340,SW/FW/AI 포지션 경력 인재 상시 영입 - Embedded IoT/보안 Software 개발,에스케이인텔릭스㈜,경기도 성남시 분당구 불정로 6,경력,,정규직(협의),https://www.jobkorea.co.kr/Recruit/GI_Read/48442733?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=334&sc=630,48442733,"ㆍ 고품질 이미지/비디오 데이터 처리 파이프라인 구축 및 개선 - 다양한 특징 추출 모델(Aesthetics Score, OCR, Optical Flow 등) 및 캡셔닝 모델의 비교·도입 - 웹, 문서, 비디오 등 원시 데이터로부터 구조화된 이미지-텍스트 Interleaved 데이터 추출 - 데이터 시각화 및 분석 도구를 활용한 지속적인 데이터 품질 모니터링 및 개선 ㆍ GPU 클러스터 기반의 대규모 데이터 처리 및 관리 - Ray, PySpark 등을 활용한 분산 데이터 처리 파이프라인 개발 - Data Lake 환경에서의 학습 데이터 관리 및 통계 분석 ㆍ 모델 평가 및 분석 - 모델 성능 평가를 위한 각종 벤치마크 도입 및 평가 자동화(EvalOps) - 평가 결과 분석을 통한 학습 레시피 개선 포인트 도출","Foundation Model ML Engineer (이미지, 비디오 생성) 담당업무 ㆍ 고품질 이미지/비디오 데이터 처리 파이프라인 구축 및 개선 - 다양한 특징 추출 모델(Aesthetics Score, OCR, Optical Flow 등) 및 캡셔닝 모델의 비교·도입 - 웹, 문서, 비디오 등 원시 데이터로부터 구조화된 이미지-텍스트 Interleaved 데이터 추출 - 데이터 시각화 및 분석 도구를 활용한 지속적인 데이터 품질 모니터링 및 개선 ㆍ GPU 클러스터 기반의 대규모 데이터 처리 및 관리 - Ray, PySpark 등을 활용한 분산 데이터 처리 파이프라인 개발 - Data Lake 환경에서의 학습 데이터 관리 및 통계 분석 ㆍ 모델 평가 및 분석 - 모델 성능 평가를 위한 각종 벤치마크 도입 및 평가 자동화(EvalOps) - 평가 결과 분석을 통한 학습 레시피 개선 포인트 도출 자격요건 ㆍ 데이터 처리 파이프라인 또는 딥러닝 모델 개발 실무 경험을 2년 이상 보유하신 분 ㆍ PyTorch를 활용한 딥러닝 모델 구현 및 실험 경험을 보유하신 분 ㆍ 실험 결과를 정리·분석하여 다음 개선 방향을 도출할 수 있는 역량을 보유하신 분","ㆍ Ray, PySpark, Vector DB 등을 활용한 대규모 데이터셋 분산 처리 경험을 보유하신 분 ㆍ 100K 샘플 이상 자체 데이터셋 구축 경험을 보유하신 분 ㆍ 데이터 또는 모델 품질 향상을 위한 자동화 도구·파이프라인 개발 경험을 보유하신 분 ㆍ MLOps 또는 EvalOps 시스템 설계·구축 경험을 보유하신 분 기타사항 ㆍ",,,회사 내규에 따름,,포털 및 기타 인터넷 정보매개 서비스업
341,상시 인재 채용 (인재 Pool) - IT 인프라(온프레미스/클라우드) TA,㈜비즈테크아이,경기 성남시 분당구 판교로255번길 20,:,:,정규직(협의),https://www.jobkorea.co.kr/Recruit/GI_Read/48420589?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=331&sc=630,48420589,"ㆍ구조설계 - 모터, 감속기, 링크(Link), 와이어(Tendon wire) 등을 활용한 로봇핸드 메커니즘 설계 - 다양한 센서를 활용한 로봇 핸드 구조 설계 (손가락 촉각센서(Fingertip sensor)와 피부센서(Skin sensor) 등) - 경량화 및 내구성 있는 로봇핸드 구조 설계 ㆍ전장설계 - 구동계 전기배선을 고려한 구조 설계 - 전장 및 하네스 설계 지원","로봇핸드 기구설계 담당업무 ㆍ구조설계 - 모터, 감속기, 링크(Link), 와이어(Tendon wire) 등을 활용한 로봇핸드 메커니즘 설계 - 다양한 센서를 활용한 로봇 핸드 구조 설계 (손가락 촉각센서(Fingertip sensor)와 피부센서(Skin sensor) 등) - 경량화 및 내구성 있는 로봇핸드 구조 설계 ㆍ전장설계 - 구동계 전기배선을 고려한 구조 설계 - 전장 및 하네스 설계 지원자격 ㆍ학력 : 학사(대졸) 이상 ㆍ경력 : 5년 이상 ㆍ필수기술 - 로봇핸드 기구 설계/제작/Test 경험 - 소형 구동기(Actuator)를 적용한 로봇 설계/제작/Test 경험 - Dynamic 설계 및 해석 업무 경험자 - 로봇 기구학 및 동역학 기술에 대한 지식 - CAD : SolidWorks, Pro-E 등","ㆍ로봇핸드 또는 로봇 기구 설계/제작 경험 ㆍ사출품, 판금물 기구 설계/제작 경험 ㆍ기구 구조해석 및 최적설계 경험",,,회사 내규에 따름,,솔루션·SI·CRM·ERP
342,SCM 개발/운영 및 솔루션 전문가 영입,SK㈜ AX,경기 화성시 정남면 가장로 355-50  주식회사 디아이티 본사,:,:,,https://www.jobkorea.co.kr/Recruit/GI_Read/48500119?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=333&sc=630,48500119,"ㆍ 산업용 검사 장비 시스템 셋업 ㆍ 카메라/조명/렌즈 등 광학계 구성 및 튜닝 ㆍ 검사 레시피 설계 및 고객 맞춤형 커스터마이징 ㆍ 공정 연동 및 검사 결과 데이터 분석/관리 ㆍ 프로젝트 문서화, 고객 기술 지원","검사 장비 셋업 엔지니어 ( 2명 ) 담당업무 ㆍ 산업용 검사 장비 시스템 셋업 ㆍ 카메라/조명/렌즈 등 광학계 구성 및 튜닝 ㆍ 검사 레시피 설계 및 고객 맞춤형 커스터마이징 ㆍ 공정 연동 및 검사 결과 데이터 분석/관리 ㆍ 프로젝트 문서화, 고객 기술 지원 자격요건 ㆍ학력 : 무관 ㆍ경력 : 무관 ㆍ전공 : 메카트로닉스, 기계공학, 전기공학 등 유관 전공 ㆍ영어 말하기 가능자 ㆍ한국-미국 양국","ㆍ반도체/디스플레이/2차전지 분야의 생산/검사 장비의 제조-CS까지의 프로젝트 관리 경험자 ㆍAOI (2D, 3D 무관) 시스템 또는 카메라 검사 시스템 경험자 ㆍ운전면허증 소지자",ㆍ서류전형 > 통합면접 > 처우협의 >최종합격 ㆍ처우협의 통과 전까지는 공식적인 합격이 아닙니다. ㆍ면접일정은 추후 통보됩니다. 복리 후생 디아이티는 업무 성과 만큼 구성원 개개인의 건강하고 지속 가능한 성장을 중요시 여깁니다 . 디아이티는 임직원이 최상의 컨디션으로,"연금·보험 국민연금 , 고용보험, 산재보험, 건강보험, 퇴직연금 휴무·휴가·행사 주5일제, 연차제도, 경조휴가, 반차제도, 출산휴가, 육아휴직, 창립일 휴무, 노동절 휴무, 창립일 행사, 워크샵/MT, 체육대회, 야유회 편의·여가·건강 사내 동호회, 출퇴근 셔틀버스, 점심 식사 지원 복리후생 더보기 관련 태그 참 괜찮은 강소","연봉 4,200만원 이상 (면접 후 결정)","Solidworks, AutoCAD",반도체·디스플레이·광학
343,경력사원 채용 - 의료AI 솔루션 기획,삼성화재해상보험,,신입·경력,,,https://www.jobkorea.co.kr/Recruit/GI_Read/48501701?Oem_Code=C1&logpath=1&stext=AI%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=325&sc=630,48501701,,IT 인프라 (온프레미스/클라우드) TA 전공 ㆍ업무 유관 전공,ㆍ비즈테크아이와 함께 성장하고자 하는 의지와 목표가 분명하신 분 ㆍ지원 분야에서 2년 이상 실무 역량을 갖추신 분,,,회사 내규에 따름,,컴퓨터시스템 통합 자문 및 구축 서비스업
